division,logic,result,cpu_time,wallclock_time,nb,solver
Bitvec,BV,sat,14117.726163,3625.9805335,244,24166
Bitvec,BV,starexec-unknown,318048.93,91206.61,76,24166
Bitvec,BV,unsat,21204.074934,5557.7963216,650,24166
QF_LinearIntArith,QF_IDL,sat,108458.763931,27479.5473152,649,24166
QF_LinearIntArith,QF_IDL,starexec-unknown,783449.5599999999,198015.94999999998,165,24166
QF_LinearIntArith,QF_IDL,unsat,111308.712084,28158.648668,390,24166
QF_LinearIntArith,QF_LIA,sat,57536.025486,19461.1067401,3948,24166
QF_LinearIntArith,QF_LIA,starexec-unknown,229585.73,76572.72899999999,71,24166
QF_LinearIntArith,QF_LIA,unsat,15024.697705999999,5199.7908056,2200,24166
QF_LinearIntArith,QF_LIRA,sat,0.006384,0.298171,1,24166
QF_LinearIntArith,QF_LIRA,unsat,232.47956899999997,117.2571439,6,24166
QF_NonLinearIntArith,QF_NIA,sat,680229.725394,198091.7576626,6488,24166
QF_NonLinearIntArith,QF_NIA,starexec-unknown,11195066.47,3174606.48,2662,24166
QF_NonLinearIntArith,QF_NIA,unsat,172761.074386,52098.3841954,3079,24166
QF_NonLinearRealArith,QF_NRA,sat,69683.539087,25246.7672611,1310,24166
QF_NonLinearRealArith,QF_NRA,starexec-unknown,663885.54,247457.6996,258,24166
QF_NonLinearRealArith,QF_NRA,unsat,32833.449974,11744.0535267,1340,24166
Equality,UF,sat,188521.317061,191454.002221,397,28869
Equality,UF,starexec-unknown,2035833.04,2047283.5699999998,1706,28869
Equality,UF,unsat,31172.064572,31469.6124099,754,28869
Equality,UFDT,sat,56329.316274,58597.410874,124,28869
Equality,UFDT,starexec-unknown,1208777.39,1219254.31,1016,28869
Equality,UFDT,unsat,18167.929275,18480.2351981,410,28869
Equality+LinearArith,ALIA,starexec-unknown,0.303819,0.300433,1,28869
Equality+LinearArith,ALIA,unsat,2.59743,2.5924369,18,28869
Equality+LinearArith,AUFDTLIA,sat,22884.436416,23194.1774907,93,28869
Equality+LinearArith,AUFDTLIA,starexec-unknown,7733.26,8400.34,7,28869
Equality+LinearArith,AUFDTLIA,unsat,422.456481,425.1239727,88,28869
Equality+LinearArith,AUFDTLIRA,starexec-unknown,57768.39934,57778.0932195,557,28869
Equality+LinearArith,AUFDTLIRA,unsat,1303.873478,1302.2828259,3628,28869
Equality+LinearArith,AUFLIA,sat,8913.251904,8929.6077708,119,28869
Equality+LinearArith,AUFLIA,starexec-unknown,297170.40576,304976.10547,282,28869
Equality+LinearArith,AUFLIA,unsat,13555.239713,13989.8092409,1237,28869
Equality+LinearArith,AUFLIRA,starexec-unknown,144472.182,145336.245,122,28869
Equality+LinearArith,AUFLIRA,unsat,4236.797546,4294.3144465000005,1561,28869
Equality+LinearArith,UFDTLIA,starexec-unknown,97217.47,98404.04,82,28869
Equality+LinearArith,UFDTLIA,unsat,52868.12927,54039.4757816,195,28869
Equality+LinearArith,UFDTLIRA,sat,1.245227,1.2562265,64,28869
Equality+LinearArith,UFDTLIRA,starexec-unknown,8432.458023,8435.0070856,895,28869
Equality+LinearArith,UFDTLIRA,unsat,133.374895,133.0800452,2170,28869
Equality+LinearArith,UFIDL,sat,486.795,533.252,1,28869
Equality+LinearArith,UFIDL,starexec-unknown,9584.718353,9601.049023,10,28869
Equality+LinearArith,UFIDL,unsat,1.513216,1.5112197,9,28869
Equality+LinearArith,UFLIA,sat,480.548,480.794,1,28869
Equality+LinearArith,UFLIA,starexec-unknown,1443299.928802,1458839.48808,1233,28869
Equality+LinearArith,UFLIA,unsat,41820.132137,42334.1676211,1614,28869
Equality+LinearArith,UFLRA,sat,570.701,571.093,1,28869
Equality+LinearArith,UFLRA,starexec-unknown,4828.35,4800.2699999999995,4,28869
Equality+LinearArith,UFLRA,unsat,0.034784999999999996,0.0341431,2,28869
Equality+NonLinearArith,AUFDTNIRA,starexec-unknown,45599.406231,45613.8204787,163,28869
Equality+NonLinearArith,AUFDTNIRA,unsat,548.426468,548.3786225,599,28869
Equality+NonLinearArith,AUFNIA,starexec-unknown,3595.1400000000003,3600.05,3,28869
Equality+NonLinearArith,AUFNIRA,sat,486.685,556.129,1,28869
Equality+NonLinearArith,AUFNIRA,starexec-unknown,286539.023913,290777.166996,244,28869
Equality+NonLinearArith,AUFNIRA,unsat,5034.686938,5150.3539781,55,28869
Equality+NonLinearArith,UFDTNIA,unsat,7.40108,7.40123,1,28869
Equality+NonLinearArith,UFDTNIRA,starexec-unknown,26403.888699,26409.572249899997,184,28869
Equality+NonLinearArith,UFDTNIRA,unsat,189.71663,189.6538283,1965,28869
Equality+NonLinearArith,UFNIA,sat,22182.712989,22482.6247623,691,28869
Equality+NonLinearArith,UFNIA,starexec-unknown,3229550.104468,3326221.146197,2844,28869
Equality+NonLinearArith,UFNIA,unsat,106840.380896,111704.4530853,2743,28869
QF_Equality+NonLinearArith,QF_ANIA,sat,2164.459993,2164.7309755,64,28869
QF_Equality+NonLinearArith,QF_ANIA,starexec-unknown,31195.62,31200.86,26,28869
QF_Equality+NonLinearArith,QF_ANIA,unsat,791.086811,791.233512,12,28869
QF_Equality+NonLinearArith,QF_AUFNIA,sat,3.080624,3.080368,2,28869
QF_Equality+NonLinearArith,QF_AUFNIA,unsat,19.0827,19.08191,7,28869
QF_Equality+NonLinearArith,QF_UFNIA,sat,50.069821000000005,50.05085040000001,162,28869
QF_Equality+NonLinearArith,QF_UFNIA,starexec-unknown,3606.376537,3606.5741779,23,28869
QF_Equality+NonLinearArith,QF_UFNIA,unsat,6.54551,6.534257,64,28869
QF_Equality+NonLinearArith,QF_UFNRA,sat,1597.229576,1597.716667,13,28869
QF_Equality+NonLinearArith,QF_UFNRA,starexec-unknown,14397.99,14400.64,12,28869
QF_Equality+NonLinearArith,QF_UFNRA,unsat,9.85653,6.61636,2,28869
QF_Strings,QF_S,sat,3984.795337,4021.8016575,371,28869
QF_Strings,QF_S,starexec-unknown,2399.34,2400.12,2,28869
QF_Strings,QF_S,unsat,14.799451000000001,15.5204762,172,28869
QF_Strings,QF_SLIA,sat,109260.217804,114360.8808023,10496,28869
QF_Strings,QF_SLIA,starexec-unknown,395134.57,409227.13,341,28869
QF_Strings,QF_SLIA,unsat,32718.270691,33447.9095044,4306,28869
QF_Equality+Bitvec,QF_ABV,sat,6272.501373,6277.68627818,1147,28874
QF_Equality+Bitvec,QF_ABV,starexec-unknown,31197.59,31201.1,26,28874
QF_Equality+Bitvec,QF_ABV,unsat,7216.65887,7220.007193,657,28874
QF_Equality+Bitvec,QF_AUFBV,sat,575.142501,575.3219991,10,28874
QF_Equality+Bitvec,QF_AUFBV,starexec-unknown,4798.997527,4800.4214654,20,28874
QF_Equality+Bitvec,QF_AUFBV,unsat,40.960958000000005,40.972114,8,28874
QF_Equality+Bitvec,QF_UFBV,sat,2085.828067,2086.2993479,160,28874
QF_Equality+Bitvec,QF_UFBV,starexec-unknown,7198.856743,7200.5326349,14,28874
QF_Equality+Bitvec,QF_UFBV,unsat,7038.856767,7038.6916879,126,28874
QF_Bitvec,QF_BV,sat,78971.271066,78812.5203753,3065,29387
QF_Bitvec,QF_BV,starexec-unknown,241172.55,241209.61,201,29387
QF_Bitvec,QF_BV,unsat,81811.488538,81624.8309958,5198,29387
Equality+MachineArith,ABV,sat,13.471053000000001,13.515127,11,33471
Equality+MachineArith,ABV,starexec-unknown,98010.125,120728.646,135,33471
Equality+MachineArith,ABV,unsat,279.418068,280.816919,23,33471
Equality+MachineArith,ABVFP,sat,3.6317120000000003,3.6403283,15,33471
Equality+MachineArith,ABVFP,starexec-unknown,15562.95,15600.759999999998,13,33471
Equality+MachineArith,ABVFP,unsat,0.370383,0.37099400000000005,2,33471
Equality+MachineArith,ABVFPLRA,sat,301.812681,301.8975112,18,33471
Equality+MachineArith,ABVFPLRA,starexec-unknown,54450.398622,54509.2453569,53,33471
Equality+MachineArith,ABVFPLRA,unsat,34.499967,34.5017539,4,33471
Equality+MachineArith,AUFBV,sat,537.38178,522.40689,5,33471
Equality+MachineArith,AUFBV,starexec-unknown,327470.44688,656151.85596,591,33471
Equality+MachineArith,AUFBV,unsat,12425.303270999999,13079.3408268,165,33471
Equality+MachineArith,AUFBVDTLIA,sat,28242.569331,29606.480544,157,33471
Equality+MachineArith,AUFBVDTLIA,starexec-unknown,234682.247,518065.9934,454,33471
Equality+MachineArith,AUFBVDTLIA,unsat,12669.130214,12876.8472274,131,33471
Equality+MachineArith,AUFBVDTNIA,starexec-unknown,3599.78329,3600.2022242,5,33471
Equality+MachineArith,AUFBVDTNIA,unsat,0.169871,0.1681591,3,33471
Equality+MachineArith,AUFBVFP,starexec-unknown,18127.0504,45092.8733,40,33471
Equality+MachineArith,AUFBVFP,unsat,1440.023158,1762.7251820000001,17,33471
Equality+MachineArith,UFBV,sat,210.93939999999998,210.9801,3,33471
Equality+MachineArith,UFBV,starexec-unknown,46033.219,53061.505,63,33471
Equality+MachineArith,UFBV,unsat,2778.470684,2788.3060688,77,33471
Equality+MachineArith,UFBVFP,starexec-unknown,16.0526,16.053,1,33471
Equality+MachineArith,UFBVFP,unsat,0.2089,0.20838,1,33471
Equality+MachineArith,UFBVLIA,starexec-unknown,83900.2075,247211.43,206,33471
