division,logic,result,time,competitive,cpu_time,wallclock_time,nb,solver
Bitvec,BV,sat,<=24s,no,197.408651,75.5239264,230,2019-Par4
Bitvec,BV,sat,>=24s,no,11407.55,2943.84116,25,2019-Par4
Bitvec,BV,starexec-unknown,>=24s,no,86400.0,86400.0,72,2019-Par4
Bitvec,BV,unsat,<=24s,no,725.601366,232.9129161,676,2019-Par4
Bitvec,BV,unsat,>=24s,no,13231.762999999999,3375.31217,37,2019-Par4
QF_LinearIntArith,QF_IDL,sat,<=24s,no,1254.932629,379.6083326,514,2019-Par4
QF_LinearIntArith,QF_IDL,sat,>=24s,no,97653.15639999999,24672.14876,150,2019-Par4
QF_LinearIntArith,QF_IDL,starexec-unknown,>=24s,no,205200.0,205200.0,171,2019-Par4
QF_LinearIntArith,QF_IDL,unsat,<=24s,no,514.151022,153.6156617,280,2019-Par4
QF_LinearIntArith,QF_IDL,unsat,>=24s,no,76711.014,19368.17676,88,2019-Par4
QF_LinearIntArith,QF_LIA,sat,<=24s,no,2697.720911,1150.3575333000001,3104,2019-Par4
QF_LinearIntArith,QF_LIA,sat,>=24s,no,66772.4574,22270.7625,140,2019-Par4
QF_LinearIntArith,QF_LIA,starexec-unknown,>=24s,no,99600.0,99600.0,83,2019-Par4
QF_LinearIntArith,QF_LIA,unsat,<=24s,no,1497.418898,669.922475,1862,2019-Par4
QF_LinearIntArith,QF_LIA,unsat,>=24s,no,23795.07,7936.15932,40,2019-Par4
QF_LinearIntArith,QF_LIRA,sat,<=24s,no,0.006329,0.356,1,2019-Par4
QF_LinearIntArith,QF_LIRA,unsat,<=24s,no,3.018914,2.361838,4,2019-Par4
QF_LinearIntArith,QF_LIRA,unsat,>=24s,no,241.07999999999998,120.6815,2,2019-Par4
QF_NonLinearRealArith,QF_NRA,sat,<=24s,no,834.961046,331.0440079,1142,2019-Par4
QF_NonLinearRealArith,QF_NRA,sat,>=24s,no,63988.7702,21384.91794,127,2019-Par4
QF_NonLinearRealArith,QF_NRA,starexec-unknown,>=24s,no,294000.0,294000.0,245,2019-Par4
QF_NonLinearRealArith,QF_NRA,unsat,<=24s,no,1279.370554,490.4375926,1109,2019-Par4
QF_NonLinearRealArith,QF_NRA,unsat,>=24s,no,39733.0527,13287.872430000001,172,2019-Par4
QF_Equality+NonLinearArith,QF_ANIA,sat,<=24s,no,144.86283,144.8738183,70,2020-CVC4
QF_Equality+NonLinearArith,QF_ANIA,sat,>=24s,no,1520.9660999999999,1521.0615999999998,8,2020-CVC4
QF_Equality+NonLinearArith,QF_ANIA,starexec-unknown,>=24s,no,38400.0,38400.0,32,2020-CVC4
QF_Equality+NonLinearArith,QF_ANIA,unsat,<=24s,no,19.355252,19.355109,6,2020-CVC4
QF_Equality+NonLinearArith,QF_ANIA,unsat,>=24s,no,1390.9474,1391.1767,7,2020-CVC4
QF_Equality+NonLinearArith,QF_AUFNIA,sat,<=24s,no,2.188249,2.187652,2,2020-CVC4
QF_Equality+NonLinearArith,QF_AUFNIA,unsat,<=24s,no,18.41906,18.41722,7,2020-CVC4
QF_Equality+NonLinearArith,QF_UFNIA,sat,<=24s,no,164.166754,164.138482,152,2020-CVC4
QF_Equality+NonLinearArith,QF_UFNIA,sat,>=24s,no,3827.3163,3828.0043,20,2020-CVC4
QF_Equality+NonLinearArith,QF_UFNIA,starexec-unknown,<=24s,no,5.613087,5.607702799999999,18,2020-CVC4
QF_Equality+NonLinearArith,QF_UFNIA,starexec-unknown,>=24s,no,43860.445,43860.549,39,2020-CVC4
QF_Equality+NonLinearArith,QF_UFNIA,unsat,<=24s,no,46.712857,46.6977069,65,2020-CVC4
QF_Equality+NonLinearArith,QF_UFNIA,unsat,>=24s,no,1178.1934,1178.3508,4,2020-CVC4
QF_Equality+NonLinearArith,QF_UFNRA,sat,<=24s,no,21.34648,21.346457,3,2020-CVC4
QF_Equality+NonLinearArith,QF_UFNRA,sat,>=24s,no,867.3854,867.506,8,2020-CVC4
QF_Equality+NonLinearArith,QF_UFNRA,starexec-unknown,<=24s,no,10.966379,10.966269,4,2020-CVC4
QF_Equality+NonLinearArith,QF_UFNRA,starexec-unknown,>=24s,no,37200.0,37200.0,31,2020-CVC4
QF_Equality+NonLinearArith,QF_UFNRA,unsat,<=24s,no,2.97623,2.97566,2,2020-CVC4
QF_LinearRealArith,QF_LRA,sat,<=24s,no,566.495263,564.15775,258,2021-Yices2
QF_LinearRealArith,QF_LRA,sat,>=24s,no,13941.3162,13944.1821,53,2021-Yices2
QF_LinearRealArith,QF_LRA,starexec-unknown,>=24s,no,52800.0,52800.0,44,2021-Yices2
QF_LinearRealArith,QF_LRA,unsat,<=24s,no,423.077449,420.08036853,155,2021-Yices2
QF_LinearRealArith,QF_LRA,unsat,>=24s,no,17926.7688,17884.7036,68,2021-Yices2
QF_LinearRealArith,QF_RDL,sat,<=24s,no,106.295131,106.3435101,99,2021-Yices2
QF_LinearRealArith,QF_RDL,sat,>=24s,no,1688.7464,1688.935,7,2021-Yices2
QF_LinearRealArith,QF_RDL,starexec-unknown,>=24s,no,39600.0,39600.0,33,2021-Yices2
QF_LinearRealArith,QF_RDL,unsat,<=24s,no,219.199463,219.266756,93,2021-Yices2
QF_LinearRealArith,QF_RDL,unsat,>=24s,no,1553.197,1553.392,15,2021-Yices2
