benchmark_id,cpu_time,wallclock_time,result
14888576,2.57912,1.57034,sat
14888577,2.54237,1.55871,sat
14888578,2.52009,1.52767,sat
14888579,2.59136,1.55106,sat
14888580,2.6257,1.61016,sat
14888581,2.56154,1.54127,sat
14888582,2.58423,1.55575,sat
14888583,2.57151,1.53395,sat
14888584,2.55022,1.56399,sat
14888585,2.49107,1.51698,sat
14888586,2.56281,1.55419,sat
14888587,2.55243,1.54543,sat
14888588,2.55693,1.53359,sat
14888589,2.61836,1.58063,sat
14888590,2.56834,1.5258,sat
14888591,2.5624,1.55653,sat
14888592,2.53185,1.52207,sat
14888593,2.52136,1.51674,sat
14888594,2.57364,1.52299,sat
14888595,2.57978,1.5475,sat
14888596,2.5811,1.54966,sat
14888597,2.54173,1.55426,sat
14888598,2.56673,1.55599,sat
14888599,2.56558,1.5574,sat
14888600,2.48436,1.509,sat
14888601,2.55725,1.54808,sat
14888602,2.59302,1.57342,sat
14888603,2.51454,1.5304,sat
14888604,2.57185,1.53895,sat
14888605,2.58862,1.53862,sat
14888606,2.5396,1.51813,sat
14888607,2.50278,1.52806,sat
14888608,2.51749,1.52065,sat
14888609,2.81318,1.74082,sat
14888610,2.57127,1.54062,sat
14888611,2.5354,1.53737,sat
14888612,2.52663,1.54035,sat
14888613,2.60119,1.5595,sat
14888614,2.56859,1.55812,sat
14888615,2.60224,1.56316,sat
14888616,2.5756,1.57667,sat
14888617,2.57762,1.55825,sat
14888618,2.57911,1.54079,sat
14888619,2.57262,1.56169,sat
14888620,2.497,1.50877,sat
14888621,2.79428,1.61708,sat
14888622,2.83139,1.66069,sat
14888623,2.80234,1.63846,sat
14888624,2.82315,1.63048,sat
14888625,2.78362,1.62832,sat
14888626,2.86653,1.6606,sat
14888627,2.77014,1.6274,sat
14888628,5.49001,1.63099,sat
14888629,2.81569,1.64019,sat
14888630,3.02978,1.79511,sat
14888631,2.80248,1.61944,sat
14888632,2.81955,1.62771,sat
14888633,2.85176,1.63434,sat
14888634,2.80581,1.63256,sat
14888635,2.81439,1.63467,sat
14888636,2.81854,1.63518,sat
14888637,5.48733,1.6244,sat
14888638,2.78969,1.62765,sat
14888639,2.79567,1.63403,sat
14888640,2.85978,1.6472,sat
14888641,3.39418,1.84254,sat
14888642,1.78077,1.13965,sat
14888643,5.34502,1.61454,sat
14888644,1.97451,1.22101,sat
14888645,1.68358,1.09891,sat
14933668,7.92567,2.94576,unsat
14933687,1200.0,1200.0,starexec-unknown
14933698,1200.0,1200.0,starexec-unknown
14933710,19.6971,6.81525,unsat
14933717,1200.0,1200.0,starexec-unknown
14933721,25.4981,8.85815,unsat
14933725,3.03333,1.56334,unsat
14933726,28.1102,9.49986,unsat
14933729,2.8711,1.47932,unsat
14933730,2.24979,1.2941,unsat
14933731,2.12523,1.24739,unsat
14933732,33.6335,11.5623,unsat
14933733,2.78461,1.46003,unsat
14933734,2.18631,1.28691,unsat
14933735,2.26589,1.30449,unsat
14933737,874.941,774.99,unsat
14933741,2.33147,1.32251,unsat
14933753,247.044,189.864,unsat
14933756,19.1297,6.64918,unsat
14933758,2.90675,1.54012,unsat
14933762,2.18682,1.26097,unsat
14933768,4.50125,1.97675,unsat
14933777,2.21315,1.28487,unsat
14933778,819.602,701.847,sat
14933783,21.7169,7.70788,unsat
14933786,2.18977,1.28725,unsat
14933788,2.46628,1.40721,unsat
14933796,1200.0,1200.0,starexec-unknown
14933806,2.84803,1.48433,unsat
14933812,18.7783,6.38767,unsat
14933814,2.44435,1.39362,unsat
14933817,1200.0,1200.0,starexec-unknown
14933820,3.03378,1.53886,unsat
14933825,2.74555,1.48333,unsat
14933829,2.7621,1.48871,unsat
14933832,1200.0,1200.0,starexec-unknown
14933833,2.30386,1.34238,unsat
14933837,3.03511,1.53835,unsat
14933846,127.659,93.6669,sat
14933847,94.7179,55.1711,unsat
14933849,2.45711,1.38704,unsat
14933850,2.4429,1.38566,unsat
14933856,190.946,143.407,sat
14933870,68.7249,32.3343,sat
14933880,28.301,9.76565,unsat
14933884,34.1384,11.3355,unsat
14933892,2.95579,1.52962,unsat
14933895,2.28844,1.34413,unsat
14933897,34.9935,11.7301,unsat
14933899,58.3917,19.3333,unsat
14933908,39.2543,14.5696,sat
14933909,2.25775,1.30669,unsat
14933914,9.53628,3.65514,unsat
14933923,1200.0,1200.0,starexec-unknown
14933924,1200.0,1200.0,starexec-unknown
14933936,11.922,4.43699,sat
14933956,2.93069,1.48238,unsat
14933969,85.0343,29.9063,unsat
14933971,9.01671,3.47943,unsat
14933981,8.33605,3.26234,unsat
14933988,2.45972,1.40349,unsat
14934003,53.9839,24.906,sat
14934013,52.0358,17.4353,unsat
14934016,281.853,203.035,unsat
14934024,12.2815,4.57695,sat
14934030,197.577,150.785,sat
14934031,2.30037,1.31529,unsat
14934034,12.0188,4.44279,unsat
14934038,1200.0,1200.0,starexec-unknown
14934043,7.24512,2.98574,unsat
14934048,447.796,375.744,unsat
14934060,5.63518,2.52773,sat
14934067,14.8775,5.23469,unsat
14934072,315.982,255.479,sat
14934077,413.726,345.823,unsat
14934079,2.70673,1.48211,unsat
14934081,2.71467,1.48461,unsat
14934092,2.20388,1.28064,unsat
14934093,2.35637,1.32997,unsat
14934097,1200.0,1200.0,starexec-unknown
14934102,1200.0,1200.0,starexec-unknown
14934105,28.1191,9.65039,unsat
14934114,2.37533,1.37103,unsat
14934116,32.4129,11.2876,unsat
14934117,12.0567,4.46375,sat
14934131,221.333,155.104,unsat
14934132,2.19489,1.26728,unsat
14934134,105.336,65.4036,sat
14934136,46.7231,22.3583,sat
14934143,2.17259,1.2648,unsat
14934145,2.25121,1.29875,unsat
14934150,11.5421,4.29899,unsat
14934157,1200.0,1200.0,starexec-unknown
14934159,6.2606,2.71322,sat
14934160,2.7962,1.46133,unsat
14934163,111.262,73.0271,sat
14934164,2.45396,1.38748,unsat
14934165,7.14886,3.00884,sat
14934168,2.21783,1.28066,unsat
14934178,5.69364,2.55836,sat
14934181,1214.95,1074.04,sat
14934191,1200.0,1200.0,starexec-unknown
14934192,2.29862,1.32328,unsat
14934196,2.85809,1.47616,unsat
14934199,166.171,105.443,unsat
14934201,151.336,114.122,sat
14934212,1200.0,1200.0,starexec-unknown
14934218,8.82772,3.45241,unsat
14934228,2.41339,1.37407,unsat
14934229,2.28095,1.33367,unsat
14934238,2.25474,1.2991,unsat
14934239,2.66911,1.43865,unsat
14934246,57.5146,19.1556,unsat
14934257,2.18403,1.27133,unsat
14934260,1200.0,1200.0,starexec-unknown
14934271,2.43491,1.39794,unsat
14934276,2.79893,1.4688,unsat
14934283,146.3,72.5526,unsat
14934292,632.588,544.013,sat
14934296,2.24814,1.2891,unsat
14934299,2.30489,1.33765,unsat
14934302,215.987,160.709,unsat
14934312,6.66615,2.82685,sat
14934317,98.9015,45.51,unsat
14934319,2.39334,1.37364,unsat
14934321,2.25951,1.30484,unsat
14934322,1200.0,1200.0,starexec-unknown
14934325,2.23454,1.29523,unsat
14934336,99.6214,66.1138,sat
14934339,2.33634,1.33978,unsat
14934343,87.0025,42.7531,unsat
14934346,17.3941,6.08249,unsat
14934347,64.4446,31.055,sat
14934361,22.9078,7.84661,unsat
14934362,1200.0,1200.0,starexec-unknown
14934365,1200.0,1200.0,starexec-unknown
14934372,2.22083,1.28333,unsat
14934373,27.6376,9.55713,sat
14934382,2.50402,1.4177,unsat
14934383,1200.0,1200.0,starexec-unknown
14934386,129.684,90.5686,sat
14934399,8.00891,3.23688,unsat
14934405,479.8,448.811,unsat
14934406,1200.0,1200.0,starexec-unknown
14934408,478.158,445.96,unsat
14934413,1200.0,1200.0,starexec-unknown
14934417,1200.0,1200.0,starexec-unknown
14934418,1200.0,1200.0,starexec-unknown
14934421,1200.0,1200.0,starexec-unknown
14934423,1200.0,1200.0,starexec-unknown
14934429,1200.0,1200.0,starexec-unknown
14934432,1200.0,1200.0,starexec-unknown
14934433,1200.0,1200.0,starexec-unknown
14934434,1200.0,1200.0,starexec-unknown
14934435,1200.0,1200.0,starexec-unknown
14934438,1200.0,1200.0,starexec-unknown
14934439,1200.0,1200.0,starexec-unknown
14934440,1200.0,1200.0,starexec-unknown
14934441,1200.0,1200.0,starexec-unknown
14934442,1200.0,1200.0,starexec-unknown
14934444,1200.0,1200.0,starexec-unknown
14934447,1200.0,1200.0,starexec-unknown
14934448,1200.0,1200.0,starexec-unknown
14934454,1200.0,1200.0,starexec-unknown
14934456,1200.0,1200.0,starexec-unknown
14934457,1200.0,1200.0,starexec-unknown
14934458,1200.0,1200.0,starexec-unknown
14934459,1200.0,1200.0,starexec-unknown
14934460,481.236,447.085,unsat
14934462,489.75,460.185,unsat
14934463,1200.0,1200.0,starexec-unknown
14934469,1200.0,1200.0,starexec-unknown
14934471,1200.0,1200.0,starexec-unknown
14934475,1200.0,1200.0,starexec-unknown
14934477,1200.0,1200.0,starexec-unknown
14934479,1200.0,1200.0,starexec-unknown
14934480,1200.0,1200.0,starexec-unknown
14934482,1200.0,1200.0,starexec-unknown
14934484,1200.0,1200.0,starexec-unknown
14934486,1200.0,1200.0,starexec-unknown
14934489,1200.0,1200.0,starexec-unknown
14934490,1200.0,1200.0,starexec-unknown
14934491,1200.0,1200.0,starexec-unknown
14934497,1200.0,1200.0,starexec-unknown
14934501,1200.0,1200.0,starexec-unknown
14934504,1200.0,1200.0,starexec-unknown
14934507,1200.0,1200.0,starexec-unknown
14934508,2.40077,1.30994,unsat
14934510,1200.0,1200.0,starexec-unknown
14934514,1200.0,1200.0,starexec-unknown
14934517,1200.0,1200.0,starexec-unknown
14934521,1200.0,1200.0,starexec-unknown
14934527,1200.0,1200.0,starexec-unknown
14934528,1200.0,1200.0,starexec-unknown
14934531,1200.0,1200.0,starexec-unknown
14934532,1200.0,1200.0,starexec-unknown
14934533,1200.0,1200.0,starexec-unknown
14934535,1200.0,1200.0,starexec-unknown
14934536,1200.0,1200.0,starexec-unknown
14934541,1200.0,1200.0,starexec-unknown
14934542,1200.0,1200.0,starexec-unknown
14934545,1200.0,1200.0,starexec-unknown
14934546,1200.0,1200.0,starexec-unknown
14934547,1200.0,1200.0,starexec-unknown
14934548,1200.0,1200.0,starexec-unknown
14934551,1200.0,1200.0,starexec-unknown
14934552,1200.0,1200.0,starexec-unknown
14934554,491.096,456.897,unsat
14934560,1200.0,1200.0,starexec-unknown
14934562,1200.0,1200.0,starexec-unknown
14934565,1200.0,1200.0,starexec-unknown
14934567,1200.0,1200.0,starexec-unknown
14934569,1200.0,1200.0,starexec-unknown
14934572,1200.0,1200.0,starexec-unknown
14934574,1200.0,1200.0,starexec-unknown
14934581,1200.0,1200.0,starexec-unknown
14934582,1200.0,1200.0,starexec-unknown
14934584,484.532,451.046,unsat
14934586,1200.0,1200.0,starexec-unknown
14934588,478.31,445.765,unsat
14934589,1200.0,1200.0,starexec-unknown
14934591,1200.0,1200.0,starexec-unknown
14934598,1200.0,1200.0,starexec-unknown
14934599,4.13502,2.11414,unsat
14934612,1200.0,1200.0,starexec-unknown
14934617,1200.0,1200.0,starexec-unknown
14934618,1200.0,1200.0,starexec-unknown
14934619,1200.0,1200.0,starexec-unknown
14934622,2.57011,1.37942,unsat
14934626,1200.0,1200.0,starexec-unknown
14934631,1200.0,1200.0,starexec-unknown
14934632,5.69441,2.43006,unsat
14934633,4.20017,2.12748,unsat
14934634,719.372,624.232,sat
14934643,1200.0,1200.0,starexec-unknown
14934645,2.24814,1.29423,unsat
14934649,3.02229,1.51775,unsat
14934652,1200.0,1200.0,starexec-unknown
14934657,4.71821,2.21932,unsat
14934660,1200.0,1200.0,starexec-unknown
14934661,3.3807,1.57899,unsat
14934662,1200.0,1200.0,starexec-unknown
14934676,4.7373,2.1695,unsat
14934677,21.3524,7.01653,sat
14934689,1200.0,1200.0,starexec-unknown
14934694,1200.0,1200.0,starexec-unknown
14934696,1200.0,1200.0,starexec-unknown
14934699,1200.0,1200.0,starexec-unknown
14934702,1200.0,1200.0,starexec-unknown
14934708,4.97868,2.14682,unsat
14934709,11.2702,3.99907,sat
14934717,10.4118,3.81611,sat
14934725,2.07745,1.24593,unsat
14934726,10.4614,3.73454,sat
14934743,14.7945,5.04226,sat
14934756,9.88484,3.52414,sat
14934759,3.17782,1.80697,sat
14934760,434.141,382.645,sat
14934766,320.741,273.4,sat
14934773,74.8219,38.4721,sat
14934776,55.3319,23.363,sat
14934777,3.74625,2.01184,sat
14934784,1.88292,1.14485,unsat
14934786,1200.0,1200.0,starexec-unknown
14934799,1.90436,1.16945,unsat
14934813,1.96556,1.20412,unsat
14934816,1.87623,1.15121,unsat
14934834,1.8794,1.15009,unsat
14934838,549.142,475.092,starexec-unknown
14934842,1.9076,1.17876,unsat
14934846,1200.0,1200.0,starexec-unknown
14934848,1200.0,1200.0,starexec-unknown
14934851,1200.0,1200.0,starexec-unknown
14934855,18.2636,6.31102,sat
14934859,2.2092,1.27905,unsat
14934860,1200.0,1200.0,starexec-unknown
14934862,3.2294,1.76643,unsat
14934866,1200.0,1200.0,starexec-unknown
14934872,1200.0,1200.0,starexec-unknown
14934878,2.18074,1.26633,unsat
14934880,1200.0,1200.0,starexec-unknown
14934885,1200.0,1200.0,starexec-unknown
14934886,2.18151,1.2617,unsat
14934887,3.02636,1.72134,unsat
14934889,3.58057,1.87304,unsat
14934890,2.2059,1.28304,unsat
14934897,1200.0,1200.0,starexec-unknown
14934902,2.23063,1.29708,unsat
14934911,1200.0,1200.0,starexec-unknown
14934912,3.62197,1.86398,unsat
14934917,2.20574,1.2656,unsat
14934922,1200.0,1200.0,starexec-unknown
14934923,2.16094,1.27173,unsat
14934924,98.4822,37.5933,sat
14934934,162.019,91.1594,sat
14934947,3.1912,1.73654,unsat
14934950,73.491,49.1577,unsat
14934956,2.21753,1.29316,unsat
14934963,141.274,115.068,unsat
14934968,1046.55,1005.8,unsat
14934971,1200.0,1200.0,starexec-unknown
14934973,1200.0,1200.0,starexec-unknown
14934983,1200.0,1200.0,starexec-unknown
14934995,1200.0,1200.0,starexec-unknown
14934998,1200.0,1200.0,starexec-unknown
14934999,1200.0,1200.0,starexec-unknown
14935006,1200.0,1200.0,starexec-unknown
14935010,2.39582,1.4077,unsat
14935012,20.3818,7.39752,sat
14935019,1200.0,1200.0,starexec-unknown
14935020,3.72201,1.89906,unsat
14935022,1200.0,1200.0,starexec-unknown
14935029,1200.0,1200.0,starexec-unknown
14935032,1200.0,1200.0,starexec-unknown
14935035,2.15265,1.26956,unsat
14935038,8.35449,3.3498,sat
14935040,2.20643,1.27821,unsat
14935041,1200.0,1200.0,starexec-unknown
14935046,1200.0,1200.0,starexec-unknown
14935048,1200.0,1200.0,starexec-unknown
14935059,1200.0,1200.0,starexec-unknown
14935061,1200.0,1200.0,starexec-unknown
14935066,1200.0,1200.0,starexec-unknown
14935071,2.79133,1.64794,unsat
14935072,1200.0,1200.0,starexec-unknown
14935076,3.66365,1.86224,unsat
