division,logic,result,time,competitive,cpu_time,wallclock_time,nb,solver
Bitvec,BV,sat,<=24s,no,149.429563,59.4163435,221,2019-Par4
Bitvec,BV,sat,>=24s,no,13968.2966,3566.56419,23,2019-Par4
Bitvec,BV,starexec-unknown,>=24s,no,91200.0,91200.0,76,2019-Par4
Bitvec,BV,unsat,<=24s,no,658.137934,205.5735916,614,2019-Par4
Bitvec,BV,unsat,>=24s,no,20545.937,5352.22273,36,2019-Par4
QF_LinearIntArith,QF_IDL,sat,<=24s,no,1424.098331,427.1208352,517,2019-Par4
QF_LinearIntArith,QF_IDL,sat,>=24s,no,107034.6656,27052.42648,132,2019-Par4
QF_LinearIntArith,QF_IDL,starexec-unknown,>=24s,no,198000.0,198000.0,165,2019-Par4
QF_LinearIntArith,QF_IDL,unsat,<=24s,no,404.535084,129.526248,283,2019-Par4
QF_LinearIntArith,QF_IDL,unsat,>=24s,no,110904.177,28029.12242,107,2019-Par4
QF_LinearIntArith,QF_LIA,sat,<=24s,no,3342.745486,1378.4478501,3818,2019-Par4
QF_LinearIntArith,QF_LIA,sat,>=24s,no,54193.28,18082.65889,130,2019-Par4
QF_LinearIntArith,QF_LIA,starexec-unknown,>=24s,no,85200.0,85200.0,71,2019-Par4
QF_LinearIntArith,QF_LIA,unsat,<=24s,no,1747.617706,768.1778955999999,2159,2019-Par4
QF_LinearIntArith,QF_LIA,unsat,>=24s,no,13277.08,4431.61291,41,2019-Par4
QF_LinearIntArith,QF_LIRA,sat,<=24s,no,0.006384,0.298171,1,2019-Par4
QF_LinearIntArith,QF_LIRA,unsat,<=24s,no,2.7395690000000004,2.2422439,4,2019-Par4
QF_LinearIntArith,QF_LIRA,unsat,>=24s,no,229.73999999999998,115.01490000000001,2,2019-Par4
QF_NonLinearIntArith,QF_NIA,sat,<=24s,no,23370.350394,7453.8210726,4855,2019-Par4
QF_NonLinearIntArith,QF_NIA,sat,>=24s,no,656859.375,190637.93659,1633,2019-Par4
QF_NonLinearIntArith,QF_NIA,starexec-unknown,>=24s,no,3230401.55,3193929.84,2662,2019-Par4
QF_NonLinearIntArith,QF_NIA,unsat,<=24s,no,6862.671486,2366.6146954,2582,2019-Par4
QF_NonLinearIntArith,QF_NIA,unsat,>=24s,no,165898.4029,49731.7695,497,2019-Par4
QF_NonLinearRealArith,QF_NRA,sat,<=24s,no,784.442187,363.9609211,1191,2019-Par4
QF_NonLinearRealArith,QF_NRA,sat,>=24s,no,68899.0969,24882.80634,119,2019-Par4
